ticket_id,user_id,order_id,ticket_date,reason,sentiment_score,resolved_within_24h
t_00000081,u_012481,ord_000001838,2026-07-08,product_quality,0.159,1
t_00000082,u_012530,ord_000001844,2026-07-28,product_quality,0.137,1
t_00000083,u_012550,ord_000001849,2026-08-01,product_quality,0.264,0
t_00000084,u_012725,ord_000001870,2026-07-29,delivery_delay,-0.003,1
t_00000085,u_012765,ord_000001880,2026-07-31,wrong_item,0.377,0
t_00000086,u_012993,ord_000001912,2026-07-18,payment_issue,-0.228,0
t_00000087,u_013006,ord_000001915,2026-07-06,delivery_delay,-0.379,1
t_00000088,u_013046,ord_000001922,2026-07-31,return_request,0.931,0
t_00000089,u_013361,ord_000001959,2026-07-31,product_quality,0.017,1
t_00000090,u_013411,ord_000001969,2026-07-10,delivery_delay,0.705,1
t_00000091,u_013420,ord_000001970,2026-07-16,product_quality,0.674,1
t_00000092,u_013423,ord_000001971,2026-07-15,product_quality,0.636,1
t_00000093,u_013560,ord_000001993,2026-07-27,return_request,-0.201,0
t_00000094,u_013745,ord_000002022,2026-07-23,payment_issue,-0.322,0
t_00000095,u_014036,ord_000002066,2026-07-09,product_quality,0.992,1
t_00000096,u_014142,ord_000002080,2026-07-03,product_quality,0.073,1
t_00000097,u_014613,ord_000002148,2026-07-29,product_quality,0.517,1
t_00000098,u_014943,ord_000002200,2026-07-27,wrong_item,0.08,1
t_00000099,u_015075,ord_000002209,2026-07-24,delivery_delay,0.513,1
t_00000100,u_015310,ord_000002237,2026-07-25,payment_issue,-0.302,0
t_00000101,u_015598,ord_000002277,2026-07-18,return_request,0.383,1
t_00000102,u_015638,ord_000002287,2026-07-28,product_quality,-0.803,1
t_00000103,u_015849,ord_000002309,2026-07-22,payment_issue,-0.206,1
t_00000104,u_016054,ord_000002340,2026-07-08,recommendation_quality,-0.503,1
t_00000105,u_016061,ord_000002341,2026-07-29,product_quality,0.001,1
t_00000106,u_016128,ord_000002350,2026-07-21,product_quality,0.561,1
t_00000107,u_016186,ord_000002360,2026-07-25,delivery_delay,0.703,1
t_00000108,u_016234,ord_000002371,2026-07-30,product_quality,-0.273,1
t_00000109,u_016639,ord_000002436,2026-07-31,product_quality,1.0,1
t_00000110,u_016722,ord_000002449,2026-07-24,return_request,-0.683,1
t_00000111,u_016742,ord_000002452,2026-07-17,product_quality,-0.241,0
t_00000112,u_016768,ord_000002456,2026-07-30,product_quality,-0.177,1
t_00000113,u_017005,ord_000002488,2026-07-11,wrong_item,-0.199,0
t_00000114,u_017483,ord_000002545,2026-07-26,wrong_item,-0.63,0
t_00000115,u_017553,ord_000002563,2026-07-20,product_quality,-0.415,0
t_00000116,u_017715,ord_000002587,2026-07-13,product_quality,0.131,1
t_00000117,u_017896,ord_000002617,2026-07-06,wrong_item,0.551,1
t_00000118,u_018081,ord_000002640,2026-07-09,product_quality,-0.682,0
t_00000119,u_018108,ord_000002645,2026-07-28,return_request,0.719,1
t_00000120,u_018396,ord_000002689,2026-07-12,delivery_delay,0.457,0
t_00000121,u_018400,ord_000002690,2026-07-12,payment_issue,-0.367,1
t_00000122,u_018616,ord_000002725,2026-07-19,wrong_item,-0.66,1
t_00000123,u_018943,ord_000002765,2026-07-20,product_quality,0.279,0
t_00000124,u_018992,ord_000002772,2026-07-20,delivery_delay,-0.41,1
t_00000125,u_019372,ord_000002834,2026-07-31,wrong_item,-0.85,1
t_00000126,u_019449,ord_000002847,2026-07-03,return_request,-0.187,0
t_00000127,u_020265,ord_000002967,2026-07-26,delivery_delay,1.0,0
t_00000128,u_020547,ord_000003014,2026-07-20,wrong_item,0.295,0
t_00000129,u_020587,ord_000003023,2026-07-26,wrong_item,-0.997,1
t_00000130,u_020626,ord_000003031,2026-07-04,product_quality,-0.238,1
t_00000131,u_020643,ord_000003035,2026-07-09,wrong_item,-0.617,0
t_00000132,u_020648,ord_000003038,2026-07-25,delivery_delay,1.0,1
t_00000133,u_020725,ord_000003044,2026-07-11,return_request,0.854,1
t_00000134,u_020903,ord_000003064,2026-07-13,delivery_delay,-0.344,0
t_00000135,u_020960,ord_000003070,2026-07-17,return_request,-0.198,0
t_00000136,u_021008,ord_000003077,2026-08-01,product_quality,0.316,1
t_00000137,u_021202,ord_000003104,2026-07-22,product_quality,0.08,1
t_00000138,u_021260,ord_000003116,2026-07-09,product_quality,0.661,1
t_00000139,u_021300,ord_000003126,2026-07-27,product_quality,0.501,1
t_00000140,u_021928,ord_000003221,2026-07-15,product_quality,-0.426,1
t_00000141,u_022051,ord_000003244,2026-07-30,wrong_item,-0.448,1
t_00000142,u_022087,ord_000003250,2026-08-03,delivery_delay,-0.311,1
t_00000143,u_022115,ord_000003257,2026-07-11,wrong_item,0.089,0
t_00000144,u_022298,ord_000003281,2026-07-20,recommendation_quality,-0.567,1
t_00000145,u_022304,ord_000003282,2026-07-05,product_quality,0.087,1
t_00000146,u_022566,ord_000003334,2026-07-28,recommendation_quality,-0.022,1
t_00000147,u_022740,ord_000003356,2026-07-30,recommendation_quality,-0.426,1
t_00000148,u_022828,ord_000003366,2026-08-02,delivery_delay,0.653,1
t_00000149,u_023041,ord_000003397,2026-07-27,product_quality,0.306,1
t_00000150,u_023050,ord_000003400,2026-07-03,payment_issue,0.355,0
t_00000151,u_023112,ord_000003415,2026-07-10,product_quality,-0.032,1
t_00000152,u_023188,ord_000003424,2026-07-24,return_request,0.741,1
t_00000153,u_023286,ord_000003440,2026-07-05,wrong_item,0.523,1
t_00000154,u_023421,ord_000003455,2026-07-03,product_quality,0.796,0
t_00000155,u_023766,ord_000003509,2026-07-04,recommendation_quality,0.885,0
t_00000156,u_023859,ord_000003525,2026-07-19,payment_issue,-0.519,1
t_00000157,u_024062,ord_000003550,2026-07-30,product_quality,0.415,1
t_00000158,u_024067,ord_000003552,2026-07-28,recommendation_quality,-0.804,1
t_00000159,u_024076,ord_000003555,2026-07-04,product_quality,0.474,1
t_00000160,u_024285,ord_000003587,2026-07-20,product_quality,0.737,1
t_00000161,u_024288,ord_000003589,2026-07-02,product_quality,0.811,1
t_00000162,u_024403,ord_000003602,2026-07-30,wrong_item,0.031,0
t_00000163,u_024512,ord_000003619,2026-07-16,delivery_delay,-0.036,1
t_00000164,u_024596,ord_000003636,2026-07-06,delivery_delay,1.0,0
t_00000165,u_024685,ord_000003653,2026-07-30,product_quality,-0.304,1
t_00000166,u_024784,ord_000003668,2026-07-26,delivery_delay,0.192,1
t_00000167,u_025007,ord_000003694,2026-07-20,product_quality,0.198,0
t_00000168,u_025103,ord_000003717,2026-07-31,recommendation_quality,0.094,0
t_00000169,u_025271,ord_000003746,2026-07-09,product_quality,0.12,1
t_00000170,u_025436,ord_000003767,2026-07-03,delivery_delay,1.0,1
t_00000171,u_025657,ord_000003805,2026-07-30,delivery_delay,0.851,1
t_00000172,u_025865,ord_000003837,2026-07-06,delivery_delay,0.58,1
t_00000173,u_025877,ord_000003841,2026-07-08,product_quality,0.052,1
t_00000174,u_025991,ord_000003859,2026-07-07,delivery_delay,0.146,0
t_00000175,u_026151,ord_000003882,2026-07-03,return_request,-0.401,1
t_00000176,u_026397,ord_000003917,2026-07-04,return_request,-0.368,1
t_00000177,u_026487,ord_000003932,2026-07-18,payment_issue,-0.501,1
t_00000178,u_026541,ord_000003940,2026-07-23,product_quality,0.694,0
t_00000179,u_026654,ord_000003963,2026-07-26,delivery_delay,0.821,1
t_00000180,u_026672,ord_000003967,2026-07-03,recommendation_quality,0.067,1
t_00000181,u_026846,ord_000003987,2026-07-30,payment_issue,-0.359,0
t_00000182,u_027191,ord_000004042,2026-07-07,product_quality,0.414,1
t_00000183,u_027291,ord_000004055,2026-07-21,payment_issue,-0.504,0
t_00000184,u_027295,ord_000004057,2026-07-06,product_quality,1.0,1
t_00000185,u_027345,ord_000004063,2026-08-01,return_request,0.184,1
t_00000186,u_027428,ord_000004082,2026-07-12,delivery_delay,0.327,1
t_00000187,u_027675,ord_000004113,2026-08-03,return_request,-0.042,1
t_00000188,u_027821,ord_000004132,2026-07-11,delivery_delay,-0.075,1
t_00000189,u_027928,ord_000004145,2026-07-28,product_quality,0.271,1
t_00000190,u_027941,ord_000004149,2026-07-13,product_quality,-0.582,0
t_00000191,u_028220,ord_000004198,2026-07-11,delivery_delay,0.324,1
t_00000192,u_028230,ord_000004200,2026-07-19,wrong_item,0.176,0
t_00000193,u_028350,ord_000004218,2026-07-19,product_quality,-0.35,1
t_00000194,u_028369,ord_000004222,2026-07-04,wrong_item,0.02,1
t_00000195,u_028409,ord_000004227,2026-07-21,return_request,-0.127,1
t_00000196,u_028731,ord_000004282,2026-07-18,delivery_delay,0.364,1
t_00000197,u_028864,ord_000004304,2026-07-17,payment_issue,-0.808,1
t_00000198,u_028909,ord_000004313,2026-07-29,product_quality,-0.796,0
t_00000199,u_029164,ord_000004355,2026-07-19,product_quality,0.478,0
t_00000200,u_029274,ord_000004378,2026-07-09,product_quality,0.37,0
t_00000201,u_029374,ord_000004400,2026-08-01,delivery_delay,0.112,1
t_00000202,u_029535,ord_000004423,2026-07-05,product_quality,0.703,1
t_00000203,u_030006,ord_000004485,2026-07-07,delivery_delay,-0.345,1
t_00000204,u_030055,ord_000004493,2026-07-12,product_quality,0.068,1
t_00000205,u_030149,ord_000004511,2026-07-18,return_request,-0.286,1
t_00000206,u_030154,ord_000004513,2026-07-15,delivery_delay,-0.839,1
t_00000207,u_030419,ord_000004545,2026-07-16,product_quality,0.062,1
t_00000208,u_030460,ord_000004549,2026-07-22,product_quality,0.745,1
t_00000209,u_030491,ord_000004551,2026-07-25,product_quality,-0.358,1
t_00000210,u_030953,ord_000004622,2026-07-14,product_quality,0.132,1
t_00000211,u_031035,ord_000004636,2026-07-16,recommendation_quality,-0.706,1
t_00000212,u_031176,ord_000004659,2026-07-05,delivery_delay,-0.46,0
t_00000213,u_031182,ord_000004660,2026-08-02,product_quality,0.319,1
t_00000214,u_031486,ord_000004701,2026-07-24,wrong_item,-0.971,1
t_00000215,u_031504,ord_000004702,2026-07-04,product_quality,0.566,0
t_00000216,u_031730,ord_000004728,2026-07-28,delivery_delay,-0.102,0
t_00000217,u_031791,ord_000004734,2026-07-03,product_quality,0.397,1
t_00000218,u_031798,ord_000004737,2026-07-21,delivery_delay,0.004,1
t_00000219,u_032144,ord_000004790,2026-07-26,product_quality,-0.184,0
t_00000220,u_032568,ord_000004861,2026-07-24,delivery_delay,1.0,1
t_00000221,u_032602,ord_000004864,2026-07-14,payment_issue,0.298,1
t_00000222,u_032616,ord_000004865,2026-07-19,return_request,-0.2,1
t_00000223,u_032671,ord_000004871,2026-07-17,delivery_delay,-0.092,1
t_00000224,u_032852,ord_000004900,2026-07-06,product_quality,0.916,1
t_00000225,u_032876,ord_000004904,2026-07-12,return_request,0.368,1
t_00000226,u_032889,ord_000004907,2026-07-05,delivery_delay,-0.008,1
t_00000227,u_032911,ord_000004909,2026-07-13,product_quality,0.362,0
t_00000228,u_033045,ord_000004931,2026-07-14,product_quality,-0.074,1
t_00000229,u_033274,ord_000004967,2026-07-10,product_quality,0.413,0
t_00000230,u_033441,ord_000004993,2026-07-05,wrong_item,-0.66,0
t_00000231,u_033475,ord_000004998,2026-07-23,product_quality,-0.39,1
t_00000232,u_033861,ord_000005059,2026-07-16,delivery_delay,0.484,1
t_00000233,u_034232,ord_000005117,2026-07-05,payment_issue,-0.479,1
t_00000234,u_034398,ord_000005140,2026-07-16,return_request,-0.071,1
t_00000235,u_034606,ord_000005174,2026-07-09,product_quality,0.551,1
t_00000236,u_034682,ord_000005184,2026-07-25,product_quality,-0.082,1
t_00000237,u_034795,ord_000005199,2026-07-11,product_quality,0.286,1
t_00000238,u_035010,ord_000005229,2026-07-21,return_request,0.368,1
t_00000239,u_035014,ord_000005230,2026-07-31,return_request,0.355,0
t_00000240,u_035409,ord_000005303,2026-07-13,payment_issue,-1.0,1
t_00000241,u_035438,ord_000005310,2026-07-31,recommendation_quality,0.079,1
t_00000242,u_035488,ord_000005316,2026-07-26,product_quality,-0.162,1
t_00000243,u_035780,ord_000005347,2026-07-05,recommendation_quality,0.558,1
t_00000244,u_035818,ord_000005354,2026-07-28,return_request,0.681,1
t_00000245,u_036045,ord_000005373,2026-07-05,delivery_delay,-0.27,1
t_00000246,u_036137,ord_000005388,2026-07-25,return_request,0.436,1
t_00000247,u_036262,ord_000005407,2026-07-23,product_quality,0.218,0
t_00000248,u_036290,ord_000005410,2026-07-10,product_quality,0.344,1
t_00000249,u_036872,ord_000005493,2026-07-06,return_request,-0.508,1
t_00000250,u_036878,ord_000005494,2026-07-16,payment_issue,0.137,1
t_00000251,u_037059,ord_000005529,2026-07-30,delivery_delay,0.101,1
t_00000252,u_037123,ord_000005538,2026-07-13,return_request,0.567,0
t_00000253,u_037192,ord_000005551,2026-07-13,wrong_item,0.359,0
t_00000254,u_037384,ord_000005575,2026-07-13,recommendation_quality,-0.874,1
t_00000255,u_037505,ord_000005595,2026-08-03,payment_issue,0.571,0
t_00000256,u_037608,ord_000005619,2026-07-24,delivery_delay,0.206,0
t_00000257,u_037744,ord_000005642,2026-07-21,return_request,0.108,0
t_00000258,u_038446,ord_000005734,2026-07-15,product_quality,0.45,1
t_00000259,u_038754,ord_000005772,2026-07-20,product_quality,0.062,1
t_00000260,u_039124,ord_000005822,2026-07-04,product_quality,-0.386,1
t_00000261,u_039671,ord_000005913,2026-07-25,wrong_item,-0.245,0
t_00000262,u_039907,ord_000005951,2026-07-10,wrong_item,-0.33,1
t_00000263,u_039934,ord_000005954,2026-07-15,product_quality,-0.463,0
t_00000264,u_039955,ord_000005958,2026-08-03,return_request,-0.372,0
t_00000265,u_040010,ord_000005967,2026-07-29,wrong_item,0.583,0
t_00000266,u_040030,ord_000005970,2026-07-10,delivery_delay,-0.533,1
t_00000267,u_040287,ord_000006008,2026-07-26,delivery_delay,0.329,1
t_00000268,u_040458,ord_000006032,2026-07-13,return_request,0.51,0
t_00000269,u_041056,ord_000006099,2026-07-11,product_quality,0.564,0
t_00000270,u_041223,ord_000006119,2026-07-23,delivery_delay,0.059,1
t_00000271,u_041306,ord_000006130,2026-07-12,product_quality,-0.175,0
t_00000272,u_041307,ord_000006132,2026-07-10,payment_issue,0.237,1
t_00000273,u_041400,ord_000006147,2026-07-16,product_quality,0.214,1
t_00000274,u_041508,ord_000006160,2026-08-02,product_quality,-0.311,1
t_00000275,u_041519,ord_000006161,2026-07-10,delivery_delay,0.271,1
t_00000276,u_042021,ord_000006243,2026-07-13,product_quality,-0.48,1
t_00000277,u_042172,ord_000006268,2026-07-14,return_request,0.833,0
t_00000278,u_042290,ord_000006293,2026-07-09,product_quality,0.406,1
t_00000279,u_042415,ord_000006311,2026-07-31,wrong_item,-1.0,0
t_00000280,u_042424,ord_000006312,2026-07-10,delivery_delay,0.948,1
t_00000281,u_042441,ord_000006318,2026-07-18,recommendation_quality,0.204,1
t_00000282,u_042474,ord_000006327,2026-07-16,product_quality,0.057,0
t_00000283,u_042796,ord_000006372,2026-07-30,delivery_delay,0.917,0
t_00000284,u_042936,ord_000006390,2026-07-08,delivery_delay,0.336,1
t_00000285,u_042957,ord_000006392,2026-07-06,product_quality,0.909,0
t_00000286,u_043268,ord_000006441,2026-07-12,return_request,0.414,1
t_00000287,u_043398,ord_000006456,2026-07-28,delivery_delay,-0.93,1
t_00000288,u_043448,ord_000006464,2026-07-07,delivery_delay,0.046,0
t_00000289,u_043594,ord_000006488,2026-07-11,product_quality,-0.197,1
t_00000290,u_043629,ord_000006491,2026-07-16,delivery_delay,-0.435,0
t_00000291,u_043994,ord_000006539,2026-07-22,wrong_item,0.15,1
t_00000292,u_044051,ord_000006548,2026-07-11,product_quality,0.348,1
t_00000293,u_044224,ord_000006576,2026-07-27,delivery_delay,-0.216,0
t_00000294,u_044248,ord_000006578,2026-07-09,delivery_delay,-0.296,1
t_00000295,u_044739,ord_000006631,2026-07-22,delivery_delay,0.414,0
t_00000296,u_044883,ord_000006645,2026-07-20,product_quality,0.303,0
t_00000297,u_044895,ord_000006648,2026-07-10,payment_issue,-0.294,1
t_00000298,u_045007,ord_000006671,2026-07-08,recommendation_quality,0.255,0
t_00000299,u_045031,ord_000006673,2026-08-03,product_quality,0.331,1
t_00000300,u_045071,ord_000006677,2026-07-20,delivery_delay,-0.286,0
t_00000301,u_045227,ord_000006704,2026-07-25,wrong_item,0.613,0
t_00000302,u_045300,ord_000006715,2026-08-01,product_quality,-0.67,1
t_00000303,u_045325,ord_000006721,2026-07-23,product_quality,-0.335,1
t_00000304,u_045341,ord_000006726,2026-07-27,delivery_delay,-0.002,1
t_00000305,u_045471,ord_000006744,2026-07-15,delivery_delay,0.109,1
t_00000306,u_045900,ord_000006808,2026-07-28,wrong_item,-0.442,1
t_00000307,u_045905,ord_000006810,2026-07-11,delivery_delay,0.542,1
t_00000308,u_045962,ord_000006818,2026-07-02,product_quality,-0.122,1
t_00000309,u_046096,ord_000006835,2026-07-06,product_quality,0.629,1
t_00000310,u_046227,ord_000006852,2026-07-27,delivery_delay,0.505,1
t_00000311,u_046325,ord_000006869,2026-07-29,product_quality,0.497,1
t_00000312,u_046417,ord_000006878,2026-07-29,product_quality,-0.484,1
t_00000313,u_046437,ord_000006884,2026-07-28,recommendation_quality,0.711,1
t_00000314,u_046535,ord_000006904,2026-07-15,delivery_delay,0.247,1
t_00000315,u_046645,ord_000006918,2026-07-27,payment_issue,-1.0,1
t_00000316,u_046684,ord_000006923,2026-07-13,return_request,0.568,1
t_00000317,u_046771,ord_000006942,2026-07-22,product_quality,0.556,1
t_00000318,u_046790,ord_000006945,2026-07-28,return_request,0.102,1
t_00000319,u_046982,ord_000006969,2026-08-02,payment_issue,-0.214,1
t_00000320,u_046986,ord_000006971,2026-07-15,delivery_delay,0.257,1
t_00000321,u_046988,ord_000006973,2026-07-14,product_quality,-0.25,1
t_00000322,u_047039,ord_000006981,2026-07-15,product_quality,-0.081,1
t_00000323,u_047473,ord_000007034,2026-07-15,product_quality,-0.236,1
t_00000324,u_047825,ord_000007084,2026-07-12,product_quality,-0.578,1
t_00000325,u_047850,ord_000007087,2026-07-18,wrong_item,0.338,1
t_00000326,u_047958,ord_000007106,2026-07-17,product_quality,-0.115,1
t_00000327,u_048062,ord_000007123,2026-07-06,wrong_item,0.047,1
t_00000328,u_048300,ord_000007160,2026-07-23,delivery_delay,-0.095,1
t_00000329,u_048300,ord_000007161,2026-07-16,delivery_delay,-0.217,1
t_00000330,u_048449,ord_000007177,2026-07-28,product_quality,0.542,1
t_00000331,u_048462,ord_000007180,2026-07-13,product_quality,0.627,1
t_00000332,u_048887,ord_000007249,2026-07-20,return_request,0.544,1
t_00000333,u_049216,ord_000007287,2026-07-29,return_request,-0.05,0
t_00000334,u_049385,ord_000007312,2026-07-07,return_request,0.239,1
t_00000335,u_049472,ord_000007321,2026-07-15,product_quality,1.0,0
t_00000336,u_049505,ord_000007328,2026-07-26,wrong_item,-0.111,1
t_00000337,u_049804,ord_000007376,2026-07-27,wrong_item,0.515,0
