product_id,category,seller_id,base_price_rub,gross_margin_rate,product_rating,is_private_label,created_date
p_00058,Fashion,s_0511,749,0.27,4.26,0,2022-12-09
p_00059,Sports,s_0120,1570,0.2707,4.53,0,2024-12-22
p_00060,FMCG,s_0436,170,0.1602,3.86,0,2024-07-21
p_00061,Fashion,s_0519,367,0.1863,4.54,0,2021-03-30
p_00062,Beauty,s_0615,926,0.3145,4.15,0,2021-04-16
p_00063,Kids,s_0503,3117,0.2655,4.69,0,2023-12-24
p_00064,Electronics,s_0408,8308,0.1468,4.27,0,2024-04-13
p_00065,Auto,s_0538,1193,0.1712,4.69,0,2023-08-01
p_00066,Sports,s_0265,2030,0.2557,3.48,0,2024-09-08
p_00067,Kids,s_0431,594,0.1397,4.26,0,2026-02-15
p_00068,Books,s_0578,662,0.1534,4.66,0,2022-06-06
p_00069,Home,s_0491,877,0.2035,4.43,0,2023-11-04
p_00070,Fashion,s_0526,699,0.2653,4.42,0,2026-01-05
p_00071,Sports,s_0531,872,0.2407,4.86,0,2021-03-09
p_00072,Electronics,s_0026,3792,0.1849,4.65,0,2025-06-22
p_00073,Auto,s_0590,2194,0.1571,4.7,0,2025-02-06
p_00074,Beauty,s_0230,1085,0.2611,4.46,0,2023-11-14
p_00075,Electronics,s_0133,13574,0.1299,4.51,0,2021-05-10
p_00076,Electronics,s_0051,5483,0.152,3.62,0,2023-04-11
p_00077,Kids,s_0536,2123,0.1803,4.31,0,2022-04-22
p_00078,Kids,s_0687,578,0.2609,4.29,0,2022-02-06
p_00079,Books,s_0106,474,0.1971,4.71,0,2021-04-05
p_00080,Electronics,s_0638,4635,0.1169,5.0,0,2026-03-12
p_00081,Beauty,s_0440,479,0.3391,4.39,1,2023-03-10
p_00082,Beauty,s_0482,786,0.3698,4.32,0,2025-12-29
p_00083,Electronics,s_0146,3249,0.1392,4.07,0,2022-09-30
p_00084,Beauty,s_0494,1186,0.3512,4.39,0,2021-07-09
p_00085,Beauty,s_0235,500,0.2157,4.67,0,2024-05-21
p_00086,Fashion,s_0125,3857,0.2277,4.72,0,2021-01-07
p_00087,Electronics,s_0642,3446,0.04,3.96,1,2024-04-16
p_00088,Kids,s_0468,1379,0.2736,5.0,0,2021-07-15
p_00089,Beauty,s_0691,562,0.2472,4.65,1,2024-06-09
p_00090,Beauty,s_0481,1525,0.241,4.87,0,2023-12-30
p_00091,FMCG,s_0559,204,0.1111,4.6,0,2022-05-25
p_00092,Beauty,s_0258,384,0.2458,5.0,0,2024-05-25
p_00093,Electronics,s_0574,2973,0.1325,4.57,1,2023-09-20
p_00094,Beauty,s_0412,818,0.4019,4.59,0,2024-01-25
p_00095,Electronics,s_0686,3034,0.074,4.38,0,2024-07-12
p_00096,Home,s_0316,3417,0.2067,4.48,0,2024-09-25
p_00097,FMCG,s_0562,620,0.1946,4.35,0,2025-11-13
p_00098,Pet,s_0663,282,0.2173,4.86,1,2021-01-26
p_00099,Fashion,s_0514,1109,0.2025,4.6,0,2023-11-11
p_00100,FMCG,s_0491,526,0.1054,4.56,0,2022-07-25
p_00101,Beauty,s_0412,1064,0.4122,4.37,0,2024-10-03
p_00102,Fashion,s_0444,1277,0.2687,4.53,0,2023-08-09
p_00103,Home,s_0208,1543,0.2142,4.66,0,2024-10-14
p_00104,Sports,s_0302,1096,0.3126,4.78,0,2023-05-14
p_00105,Pet,s_0276,532,0.1349,4.94,0,2025-06-14
p_00106,Auto,s_0010,2366,0.1736,3.76,0,2021-07-13
p_00107,Pet,s_0034,1969,0.2631,4.61,0,2025-06-04
p_00108,Electronics,s_0154,2241,0.1264,5.0,0,2025-01-31
p_00109,Electronics,s_0672,1225,0.04,4.81,0,2023-11-03
p_00110,Fashion,s_0612,1269,0.2624,4.89,0,2024-03-24
p_00111,Sports,s_0470,1526,0.2611,4.62,0,2025-01-26
p_00112,Kids,s_0536,1255,0.204,4.53,0,2023-01-30
p_00113,Home,s_0502,700,0.1647,4.59,0,2022-06-25
p_00114,Electronics,s_0369,4010,0.1312,4.09,0,2021-04-25
p_00115,Beauty,s_0205,605,0.2341,4.32,0,2024-11-08
p_00116,Beauty,s_0267,326,0.2335,5.0,0,2024-01-30
p_00117,Auto,s_0498,2022,0.2101,4.91,0,2023-10-12
p_00118,Home,s_0478,1791,0.2294,4.53,1,2024-05-08
p_00119,Fashion,s_0524,1249,0.1275,4.42,0,2021-03-15
p_00120,Pet,s_0510,887,0.1684,4.18,0,2025-11-26
p_00121,FMCG,s_0445,579,0.0949,4.79,0,2023-09-10
p_00122,Beauty,s_0572,536,0.2709,4.41,0,2024-02-29
p_00123,Home,s_0680,3702,0.1895,3.71,0,2022-06-12
p_00124,Electronics,s_0035,3525,0.1595,4.4,0,2025-06-24
p_00125,Beauty,s_0298,1300,0.338,4.32,0,2021-09-24
p_00126,Electronics,s_0325,4690,0.0647,4.49,0,2023-10-19
p_00127,Beauty,s_0469,566,0.2242,4.98,0,2025-09-13
p_00128,Sports,s_0101,2815,0.2537,4.84,0,2025-05-16
p_00129,Kids,s_0449,1901,0.1877,4.37,0,2024-04-05
p_00130,Fashion,s_0528,980,0.1968,4.06,0,2025-02-09
p_00131,Auto,s_0266,3244,0.1939,4.59,0,2021-01-20
p_00132,Pet,s_0464,566,0.1986,4.65,0,2022-03-12
p_00133,Home,s_0188,2099,0.2654,5.0,0,2022-08-18
p_00134,Electronics,s_0436,6042,0.0743,4.94,0,2025-03-22
p_00135,FMCG,s_0491,428,0.0857,4.2,0,2025-05-08
p_00136,Fashion,s_0066,1614,0.2599,4.67,0,2021-03-28
p_00137,Kids,s_0665,878,0.1784,4.72,0,2025-08-07
p_00138,Auto,s_0273,2061,0.2138,4.48,0,2022-09-12
p_00139,Pet,s_0511,587,0.2328,4.57,0,2022-09-29
p_00140,Sports,s_0380,2951,0.3134,4.29,0,2023-10-03
p_00141,Sports,s_0099,1893,0.2315,3.9,0,2024-03-20
p_00142,Home,s_0200,1231,0.0858,4.9,0,2025-01-07
p_00143,Sports,s_0422,2028,0.2375,4.16,0,2022-09-02
p_00144,Pet,s_0150,378,0.1543,3.98,0,2023-04-20
p_00145,FMCG,s_0461,181,0.1006,4.59,0,2023-11-02
p_00146,Home,s_0015,2073,0.2148,4.72,0,2025-08-26
p_00147,Kids,s_0095,1230,0.2346,4.08,0,2024-10-22
p_00148,Auto,s_0001,1143,0.1563,4.34,0,2021-04-24
p_00149,Fashion,s_0463,1901,0.2378,3.88,0,2023-01-28
p_00150,Auto,s_0595,2310,0.1744,4.6,0,2021-12-18
p_00151,Home,s_0560,824,0.2459,4.7,0,2026-02-12
p_00152,Kids,s_0086,1064,0.1721,4.76,0,2021-05-31
p_00153,Beauty,s_0625,1333,0.3275,4.35,0,2025-08-08
p_00154,Books,s_0204,400,0.2665,4.52,0,2023-05-24
p_00155,Beauty,s_0254,508,0.2267,4.02,0,2021-06-19
p_00156,Fashion,s_0124,2552,0.1868,3.77,0,2021-06-16
p_00157,FMCG,s_0636,237,0.0855,4.92,0,2026-03-07
p_00158,FMCG,s_0046,330,0.1496,3.59,0,2022-09-16
p_00159,Pet,s_0560,1086,0.1475,4.64,0,2021-08-22
p_00160,Pet,s_0275,1296,0.1489,4.19,0,2022-10-06
p_00161,FMCG,s_0685,507,0.0945,4.97,0,2021-03-30
p_00162,Auto,s_0651,5539,0.188,4.36,0,2023-06-10
p_00163,Books,s_0366,220,0.1174,5.0,0,2025-04-28
p_00164,Pet,s_0159,1380,0.2101,4.6,0,2023-01-19
p_00165,Electronics,s_0006,7967,0.1218,4.52,0,2026-01-02
p_00166,Pet,s_0321,2747,0.1979,4.78,0,2023-09-10
p_00167,Fashion,s_0681,2658,0.1805,4.14,0,2025-07-18
p_00168,Home,s_0598,2621,0.2847,4.32,0,2025-07-15
p_00169,Fashion,s_0589,3022,0.2389,4.74,0,2021-01-01
p_00170,Home,s_0504,1435,0.1993,4.73,0,2025-02-15
p_00171,Beauty,s_0139,1114,0.2832,4.6,0,2022-02-08
p_00172,Kids,s_0559,1065,0.1378,4.97,1,2022-06-26
p_00173,Electronics,s_0229,2699,0.0581,3.45,0,2022-09-25
p_00174,Sports,s_0485,1045,0.2338,3.77,0,2022-08-26
p_00175,Beauty,s_0603,583,0.3065,4.56,0,2021-05-26
p_00176,Books,s_0135,643,0.1955,4.2,0,2022-04-13
p_00177,Books,s_0613,107,0.0935,4.82,0,2021-10-28
p_00178,Sports,s_0517,2939,0.2294,4.31,0,2024-07-30
p_00179,Pet,s_0298,402,0.173,4.02,0,2021-02-09
p_00180,Pet,s_0087,719,0.1461,3.78,0,2023-03-29
p_00181,FMCG,s_0428,177,0.1613,4.38,0,2025-10-20
p_00182,Auto,s_0685,5811,0.2579,4.64,0,2024-10-06
p_00183,Sports,s_0164,988,0.164,4.39,0,2022-03-02
p_00184,Fashion,s_0139,3180,0.2258,5.0,0,2024-06-20
p_00185,Fashion,s_0601,1981,0.2949,4.59,1,2024-09-03
p_00186,Electronics,s_0314,3052,0.0552,4.41,0,2023-12-19
p_00187,Home,s_0520,1956,0.1297,5.0,0,2023-03-07
p_00188,Sports,s_0422,1968,0.227,4.87,0,2023-11-26
p_00189,Electronics,s_0400,4744,0.0894,4.24,1,2025-04-25
p_00190,Home,s_0153,1530,0.1809,4.53,0,2025-07-17
p_00191,Fashion,s_0533,2232,0.2913,4.03,0,2025-02-09
p_00192,Electronics,s_0202,5716,0.0772,5.0,0,2023-08-29
p_00193,Home,s_0386,1233,0.1625,4.09,0,2021-02-16
p_00194,Beauty,s_0015,824,0.2824,4.69,0,2022-06-05
p_00195,Kids,s_0109,2548,0.1389,4.73,0,2021-07-06
p_00196,Fashion,s_0399,1612,0.2415,5.0,1,2021-01-14
p_00197,Pet,s_0076,1123,0.237,4.58,0,2025-06-02
p_00198,Electronics,s_0053,6755,0.1477,4.11,0,2025-08-06
p_00199,Home,s_0356,1168,0.2519,4.0,0,2022-09-24
p_00200,Books,s_0662,375,0.1359,3.99,0,2023-06-13
p_00201,FMCG,s_0362,746,0.1347,4.52,0,2023-12-06
p_00202,Sports,s_0027,1085,0.2674,4.61,0,2022-04-05
p_00203,Electronics,s_0027,5011,0.1969,4.68,1,2022-09-20
p_00204,Kids,s_0523,2178,0.1985,4.39,0,2021-07-16
p_00205,Electronics,s_0488,8284,0.096,4.88,0,2024-03-02
p_00206,Books,s_0336,193,0.1385,4.33,1,2021-05-22
p_00207,Beauty,s_0700,207,0.3089,4.43,0,2022-04-19
p_00208,Kids,s_0311,1848,0.1759,4.31,0,2025-02-14
p_00209,Auto,s_0461,2057,0.234,3.93,0,2025-03-17
p_00210,Home,s_0334,3208,0.1438,4.34,0,2022-01-17
p_00211,Books,s_0125,540,0.1182,4.41,0,2023-06-25
p_00212,FMCG,s_0510,202,0.1614,4.93,0,2025-06-04
p_00213,Pet,s_0478,816,0.2374,4.75,0,2021-10-22
p_00214,Pet,s_0586,607,0.1884,3.89,0,2025-01-29
p_00215,Pet,s_0634,419,0.2027,4.17,0,2024-01-09
p_00216,FMCG,s_0175,611,0.1386,4.56,0,2023-12-06
p_00217,FMCG,s_0158,385,0.1655,4.22,0,2025-05-13
p_00218,Home,s_0606,2063,0.1599,4.14,0,2024-10-09
p_00219,Electronics,s_0533,3277,0.1481,4.72,1,2022-07-07
p_00220,Books,s_0212,457,0.2086,3.81,0,2025-03-13
p_00221,Beauty,s_0445,864,0.2355,4.2,0,2023-01-22
p_00222,Auto,s_0639,1721,0.1168,4.51,0,2025-03-21
p_00223,Fashion,s_0345,1162,0.1992,4.39,0,2023-02-20
p_00224,Fashion,s_0470,1714,0.2348,4.59,0,2023-09-30
p_00225,Home,s_0613,714,0.133,4.49,0,2026-02-26
p_00226,Kids,s_0239,598,0.2037,4.32,0,2023-10-13
p_00227,Pet,s_0695,518,0.1424,4.36,0,2026-03-08
p_00228,Beauty,s_0072,514,0.2892,4.52,0,2024-12-15
p_00229,Electronics,s_0561,5813,0.139,5.0,0,2023-11-27
p_00230,Fashion,s_0409,1419,0.1664,4.68,0,2021-10-29
p_00231,Electronics,s_0035,3342,0.1065,5.0,0,2026-01-14
p_00232,Electronics,s_0201,5172,0.1657,4.46,0,2024-08-11
p_00233,Fashion,s_0663,1689,0.1985,4.43,0,2023-02-28
p_00234,Fashion,s_0178,1633,0.2721,4.99,0,2025-11-04
p_00235,FMCG,s_0047,349,0.1058,4.77,0,2024-08-07
p_00236,Beauty,s_0664,397,0.2892,4.01,0,2025-04-17
p_00237,Kids,s_0558,777,0.2157,4.4,0,2022-06-13
p_00238,FMCG,s_0050,327,0.0657,4.26,0,2025-09-29
p_00239,Auto,s_0463,1482,0.1197,4.66,0,2021-03-08
p_00240,Home,s_0657,1667,0.244,3.84,0,2021-07-20
p_00241,Pet,s_0194,1052,0.2328,4.24,0,2021-03-10
p_00242,Fashion,s_0496,1566,0.2339,4.55,0,2022-05-24
p_00243,Beauty,s_0695,600,0.2458,4.44,0,2024-07-31
p_00244,Auto,s_0021,3194,0.1653,4.85,0,2023-12-18
p_00245,Kids,s_0133,777,0.2346,3.94,0,2023-08-09
p_00246,Books,s_0662,201,0.2153,4.46,0,2025-01-18
p_00247,Pet,s_0543,785,0.217,4.69,0,2021-02-13
p_00248,Electronics,s_0224,9590,0.1307,4.38,0,2022-01-14
p_00249,Electronics,s_0530,2629,0.0636,4.48,0,2022-05-03
p_00250,Sports,s_0142,1968,0.2564,4.84,1,2023-10-15
p_00251,Fashion,s_0165,393,0.2714,4.97,1,2025-02-24
p_00252,Sports,s_0678,878,0.2691,4.4,0,2021-06-04
p_00253,Sports,s_0191,1397,0.2395,4.38,1,2025-03-29
p_00254,Home,s_0400,970,0.2038,4.49,0,2024-03-22
p_00255,FMCG,s_0280,223,0.1646,4.48,0,2026-02-16
p_00256,Electronics,s_0436,4650,0.1356,4.85,1,2023-06-12
p_00257,Electronics,s_0546,2332,0.1758,4.58,0,2023-04-18
p_00258,Home,s_0425,1512,0.2671,4.68,0,2025-10-08
p_00259,Electronics,s_0081,1356,0.1231,4.67,0,2021-11-20
p_00260,Kids,s_0393,1353,0.1882,4.69,0,2023-11-06
p_00261,Electronics,s_0313,2157,0.1506,4.74,0,2022-03-09
p_00262,Fashion,s_0192,1702,0.3118,4.17,0,2025-11-21
p_00263,Electronics,s_0353,3482,0.0892,4.46,0,2023-02-22
p_00264,Fashion,s_0179,3269,0.2539,4.26,0,2024-05-06
p_00265,Home,s_0270,2119,0.2189,3.9,0,2026-03-09
p_00266,Fashion,s_0476,935,0.2661,4.11,0,2024-10-08
p_00267,Fashion,s_0510,2421,0.229,4.79,0,2023-01-05
p_00268,Electronics,s_0426,776,0.053,4.48,0,2025-07-14
p_00269,Books,s_0295,220,0.1641,4.71,0,2024-03-14
p_00270,Beauty,s_0479,579,0.2652,4.29,0,2022-09-14
p_00271,Auto,s_0182,4236,0.1395,4.44,0,2022-09-03
p_00272,Home,s_0334,1430,0.2351,4.59,0,2023-01-10
p_00273,Fashion,s_0532,2272,0.2972,4.49,0,2024-09-22
p_00274,Electronics,s_0494,2736,0.1383,4.88,0,2024-04-11
p_00275,Fashion,s_0456,2625,0.2541,4.63,0,2021-09-27
p_00276,Sports,s_0123,959,0.2622,4.3,0,2026-02-17
p_00277,Fashion,s_0540,1003,0.2757,4.32,0,2024-11-24
p_00278,Electronics,s_0538,2631,0.0707,4.18,0,2022-05-25
p_00279,Auto,s_0281,2241,0.2366,4.65,0,2022-07-02
p_00280,Pet,s_0097,1972,0.228,3.88,0,2024-12-27
p_00281,Beauty,s_0220,973,0.2772,4.77,0,2024-11-20
p_00282,Home,s_0237,972,0.146,4.68,0,2025-08-06
p_00283,FMCG,s_0006,912,0.1443,4.3,0,2022-07-20
p_00284,Kids,s_0096,795,0.2053,4.26,0,2022-08-13
p_00285,Sports,s_0466,1252,0.237,4.25,0,2025-06-01
p_00286,Fashion,s_0662,2437,0.2519,4.9,0,2022-08-07
p_00287,Sports,s_0339,942,0.2031,4.26,0,2023-03-28
p_00288,Fashion,s_0418,1316,0.2745,4.45,0,2023-12-04
p_00289,Books,s_0559,456,0.1912,4.26,0,2024-10-17
p_00290,Beauty,s_0687,697,0.3302,4.67,0,2024-11-06
p_00291,Books,s_0187,248,0.2131,4.21,0,2024-03-28
p_00292,Electronics,s_0028,2115,0.1143,4.08,0,2024-08-18
p_00293,Home,s_0361,1500,0.1599,4.53,0,2021-09-12
p_00294,FMCG,s_0161,199,0.0632,4.38,0,2025-09-03
p_00295,Beauty,s_0361,2803,0.2323,4.68,0,2021-12-01
p_00296,Pet,s_0576,764,0.2247,4.38,0,2022-06-07
p_00297,Beauty,s_0587,747,0.2935,4.56,0,2026-01-14
p_00298,Fashion,s_0552,856,0.2979,4.67,0,2024-05-11
p_00299,Kids,s_0222,855,0.1671,4.36,0,2023-06-08
p_00300,Kids,s_0113,2013,0.1845,4.24,0,2023-03-09
p_00301,FMCG,s_0636,396,0.2031,4.39,0,2021-01-08
p_00302,Home,s_0288,2502,0.2381,4.34,0,2026-01-21
p_00303,Pet,s_0570,111,0.2,4.61,0,2023-06-22
p_00304,Sports,s_0582,1101,0.1953,4.64,0,2025-09-10
p_00305,FMCG,s_0220,578,0.1157,5.0,0,2022-06-14
p_00306,Home,s_0584,893,0.1603,3.86,0,2024-01-18
p_00307,Auto,s_0302,815,0.1754,4.91,0,2022-01-29
p_00308,Books,s_0577,446,0.213,4.83,0,2024-12-21
p_00309,Electronics,s_0275,4615,0.1075,4.29,0,2024-12-12
p_00310,Books,s_0687,224,0.125,4.52,0,2023-08-10
p_00311,Kids,s_0570,1803,0.1971,4.38,0,2023-09-29
p_00312,Home,s_0136,1328,0.2255,3.92,0,2023-11-09
p_00313,FMCG,s_0104,804,0.0767,4.69,0,2021-02-01
p_00314,Kids,s_0271,369,0.2289,4.34,0,2025-11-19
p_00315,Auto,s_0099,2210,0.2193,4.87,1,2021-07-25
p_00316,Fashion,s_0447,1682,0.1961,4.19,0,2021-04-13
p_00317,Fashion,s_0176,1670,0.2731,4.61,0,2025-05-30
p_00318,Home,s_0109,1896,0.1969,3.87,0,2026-03-14
p_00319,FMCG,s_0062,623,0.1455,5.0,0,2024-01-23
p_00320,Fashion,s_0365,1519,0.1745,4.82,0,2022-01-12
p_00321,Fashion,s_0190,1366,0.2071,4.58,0,2024-08-11
p_00322,Auto,s_0662,633,0.1427,3.87,0,2025-09-12
p_00323,Books,s_0646,294,0.1712,3.76,1,2022-01-28
p_00324,Home,s_0109,2433,0.1964,4.08,0,2021-07-02
p_00325,Home,s_0519,2281,0.175,4.25,0,2025-01-30
p_00326,Kids,s_0322,1486,0.2565,3.99,0,2024-11-29
p_00327,Sports,s_0284,629,0.1794,4.27,0,2026-03-02
p_00328,Pet,s_0603,511,0.1722,4.27,0,2023-03-01
p_00329,Books,s_0066,403,0.2167,4.58,0,2024-01-12
p_00330,Fashion,s_0299,2152,0.2032,4.54,0,2024-08-29
p_00331,FMCG,s_0323,181,0.2022,4.59,0,2024-10-19
p_00332,Home,s_0166,1383,0.2441,5.0,0,2024-11-21
p_00333,Electronics,s_0268,3772,0.1078,4.11,0,2023-08-07
p_00334,Beauty,s_0263,531,0.2536,4.38,0,2024-05-25
p_00335,Auto,s_0065,1512,0.2273,3.83,0,2026-02-09
p_00336,Beauty,s_0015,422,0.3148,4.94,0,2023-04-13
p_00337,FMCG,s_0422,147,0.1306,4.21,0,2024-07-18
p_00338,Sports,s_0264,1297,0.2058,4.97,0,2021-09-03
p_00339,FMCG,s_0425,211,0.0473,4.14,0,2025-11-07
p_00340,Kids,s_0016,1069,0.2433,3.73,1,2021-11-13
p_00341,Beauty,s_0059,828,0.2312,4.54,0,2023-08-15
p_00342,Beauty,s_0099,1771,0.2065,4.12,0,2022-03-17
p_00343,Sports,s_0241,2216,0.2148,4.24,0,2021-07-26
p_00344,Beauty,s_0024,479,0.3029,4.73,0,2024-03-30
p_00345,Sports,s_0318,2129,0.2284,3.83,0,2022-02-05
p_00346,Home,s_0126,751,0.1664,3.47,0,2024-02-19
p_00347,Electronics,s_0097,2603,0.1324,4.65,0,2023-09-25
p_00348,FMCG,s_0575,253,0.1096,4.41,1,2021-09-07
p_00349,Electronics,s_0591,1163,0.0816,3.71,0,2022-08-10
p_00350,Fashion,s_0359,837,0.2833,4.84,0,2022-07-22
p_00351,Books,s_0323,488,0.1579,5.0,0,2021-03-16
p_00352,Fashion,s_0467,1115,0.3001,4.19,0,2021-11-03
p_00353,Auto,s_0622,2798,0.2073,4.5,0,2022-06-10
p_00354,Home,s_0641,969,0.2022,4.5,0,2021-06-23
p_00355,Beauty,s_0671,405,0.307,4.79,0,2024-03-08
p_00356,Kids,s_0630,1074,0.2851,4.16,0,2022-05-05
p_00357,Sports,s_0039,1179,0.1874,4.75,0,2022-04-08
p_00358,Sports,s_0414,1032,0.1663,4.47,0,2024-08-12
p_00359,Sports,s_0324,2689,0.2969,4.82,0,2024-03-30
p_00360,Electronics,s_0623,2536,0.134,4.71,1,2025-01-19
p_00361,Sports,s_0221,1342,0.3181,4.06,0,2024-05-10
p_00362,Fashion,s_0609,1735,0.2529,3.89,0,2023-03-24
p_00363,Pet,s_0474,987,0.1301,4.26,0,2025-12-31
p_00364,Beauty,s_0437,1020,0.3537,4.51,0,2025-03-02
p_00365,FMCG,s_0693,371,0.1405,4.78,0,2024-04-07
p_00366,FMCG,s_0123,467,0.1057,4.62,0,2025-01-03
p_00367,Fashion,s_0384,700,0.2585,4.35,0,2024-08-20
p_00368,Pet,s_0514,554,0.154,4.95,0,2022-06-09
p_00369,Fashion,s_0698,1332,0.2444,4.06,0,2025-09-22
p_00370,Beauty,s_0258,683,0.2807,4.46,0,2022-07-20
p_00371,Books,s_0399,320,0.1753,4.66,0,2023-02-25
p_00372,Pet,s_0299,769,0.1806,4.44,0,2024-01-24
p_00373,Kids,s_0365,1480,0.2479,4.37,0,2021-06-24
p_00374,Fashion,s_0060,2177,0.2769,4.5,0,2026-01-12
p_00375,Sports,s_0448,190,0.2511,4.97,0,2022-02-27
p_00376,Kids,s_0025,2551,0.1683,4.88,0,2021-06-08
p_00377,Beauty,s_0289,959,0.3384,4.0,0,2025-03-11
p_00378,Fashion,s_0339,1057,0.3233,4.62,0,2021-12-23
p_00379,Kids,s_0297,3299,0.1952,3.92,0,2025-09-14
p_00380,Pet,s_0126,548,0.1348,4.27,0,2021-12-28
p_00381,Fashion,s_0305,654,0.2751,4.32,0,2023-11-16
p_00382,Fashion,s_0427,1172,0.2457,4.56,0,2024-04-17
p_00383,Fashion,s_0327,3741,0.2347,4.82,0,2023-08-26
p_00384,Fashion,s_0600,1405,0.2751,4.55,0,2025-11-28
p_00385,Home,s_0021,1185,0.1886,4.44,0,2023-01-13
p_00386,Beauty,s_0556,477,0.2756,4.95,0,2021-01-31
p_00387,Fashion,s_0351,2533,0.1858,4.71,0,2025-02-06
p_00388,Home,s_0203,1651,0.1951,4.24,0,2023-10-18
p_00389,FMCG,s_0575,585,0.1019,4.81,0,2023-12-13
p_00390,Home,s_0058,2248,0.2176,4.58,0,2024-01-07
p_00391,Beauty,s_0116,5756,0.2985,4.15,0,2023-09-15
p_00392,Electronics,s_0167,7177,0.0662,4.21,0,2022-05-21
p_00393,Fashion,s_0634,1852,0.1983,4.26,1,2021-01-29
p_00394,Beauty,s_0126,671,0.2875,4.55,0,2023-05-04
p_00395,Electronics,s_0122,3252,0.1246,4.53,0,2024-09-27
p_00396,Electronics,s_0039,2945,0.1347,4.49,0,2021-07-19
p_00397,Fashion,s_0129,798,0.3039,4.63,0,2024-03-21
p_00398,FMCG,s_0536,256,0.099,5.0,0,2021-06-22
p_00399,Pet,s_0363,827,0.171,4.6,0,2023-04-13
